code,year,anu_ret_std
600263,2005,0.3494388439863922
600263,2006,0.5703692153668413
600263,2007,0.6436375946535373
600263,2008,0.7475375465920009
600263,2009,0.444140436758855
600263,2010,0.40838234182007466
600263,2011,0.12126277663387433
600263,2012,0.316502118611469
600265,2002,
600265,2003,0.2574652542064316
600265,2004,0.32530011637885226
600265,2005,0.34764188374849647
600265,2006,0.6014207064832878
600265,2007,0.7502372953999832
600265,2008,0.8898054665418887
600265,2009,0.513395727772602
600265,2010,0.362769894841205
600265,2011,0.4113472539600047
600265,2012,0.39494230306690614
600265,2013,0.32724025334508827
600265,2014,0.3522840483897278
600265,2015,0.6539470333963362
600265,2016,0.403588004248961
600265,2017,0.3718571798339995
600266,2002,
600266,2003,0.2562904314780377
600266,2004,0.38592137323704245
600266,2005,0.33585672974625075
600266,2006,0.6409695876410901
600266,2007,0.6478121045590222
600266,2008,0.7660848662187053
600266,2009,0.6264454120885459
600266,2010,0.47375405455943814
600266,2011,0.3599852973428758
600266,2012,0.3689780913777648
600266,2013,0.31193118583520907
600266,2014,0.5237614335814975
600266,2015,0.69566269128574
600266,2016,0.39415489664700964
600266,2017,0.29876638282910406
600267,2002,
600267,2003,0.2781680647003813
600267,2004,0.5503339591087257
600267,2005,0.33705258431806984
600267,2006,0.50184443205843
600267,2007,0.5585854204003825
600267,2008,0.5622743751116875
600267,2009,0.42555216297105614
600267,2010,0.44535776287019163
600267,2011,0.2384149515126894
600267,2012,0.5661285408147866
600267,2013,0.3614974855887944
600267,2014,0.25627126180883963
600267,2015,0.5547165838148203
600267,2016,0.3615420341163464
600267,2017,0.2919387046321339
600268,2002,
600268,2003,0.27516099087646234
600268,2004,0.32861929263012224
600268,2005,0.36196935856265705
600268,2006,0.7165707766782011
600268,2007,0.5923017418079891
600268,2008,0.7393960940035028
600268,2009,0.4933143877574526
600268,2010,0.6130159041896027
600268,2011,0.7221096658811224
600268,2012,0.3528051130885736
600268,2013,0.31658682382150216
600268,2014,0.40044640343232657
600268,2015,0.7855416089693441
600268,2016,0.39419233219421573
600268,2017,0.3151798715412749
600269,2002,
600269,2003,0.24102312648064778
600269,2004,0.5849755454744202
600269,2005,0.315092105591503
600269,2006,0.6993179643575109
600269,2007,0.3913335583218799
600269,2008,0.527151134054625
600269,2009,0.7076213065178254
600269,2010,0.26775391430240986
600269,2011,0.1732127385522053
600269,2012,0.1564343791250642
600269,2013,0.20622874641255418
600269,2014,0.2568051655899743
600269,2015,0.5288600769437363
600269,2016,0.1935451738306427
600269,2017,0.14165808254969522
600270,2002,
600270,2003,0.48275546658969537
600270,2004,0.5360313485792784
600270,2005,0.40413692654753636
600270,2006,0.4818307897680367
600270,2007,0.5337192050961911
600270,2008,0.6169464935059132
600270,2009,0.39527193401689553
600270,2010,0.3293107562349818
600270,2011,0.32711777433310024
600270,2012,0.32537987232086146
600270,2013,0.6603436962867443
600270,2014,0.4571515260219471
600270,2015,0.7520339303525678
600270,2016,0.3645692974325121
600270,2017,0.19517515716194303
600271,2003,0.4720832092395535
600271,2004,0.38140735983193763
600271,2005,0.6377113574303703
600271,2006,0.48652302569934286
600271,2007,0.5504871722823667
600271,2008,0.6576504896059053
600271,2009,0.5663784605680581
600271,2010,0.5187513979732912
600271,2011,0.3035200905714585
600271,2012,0.33528364287423984
600271,2013,0.3376547112667904
600271,2014,0.36208010682468544
600271,2015,0.812903455270795
600271,2016,0.6135091766361939
600271,2017,0.2552835051336781
600272,2002,
600272,2003,0.26718445721523937
600272,2004,0.3026315343142083
600272,2005,0.559822451585463
600272,2006,0.6048413910848
600272,2007,2.2287705828205637
600272,2008,0.6910655123294102
600272,2009,0.476386971443344
600272,2010,0.4929582324428982
600272,2011,0.4732279393925661
600272,2012,0.7332555544333612
600272,2013,0.4377393964914923
600272,2014,0.3574367962403128
600272,2015,0.8889429549009837
600272,2016,0.5068394054684561
600272,2017,0.25360426745898695
600273,2003,0.29230343941070075
600273,2004,0.2871259367750432
600273,2005,0.4125487491996397
600273,2006,0.35078890832524934
600273,2007,0.7584534413696542
600273,2008,0.6117835595790764
600273,2009,0.6911642759086409
600273,2010,0.5098411850468573
600273,2011,0.5239387298428774
600273,2012,0.6241488617789698
600273,2013,0.5224014196774119
600273,2014,0.5026522421382141
600273,2015,0.6674446092921745
600273,2016,0.4037543103817738
600273,2017,0.14716897097110132
600275,2002,
600275,2003,0.507840869935329
600275,2004,0.4452761817001496
600275,2005,0.3741510606251357
600275,2006,0.7130324819808976
600275,2007,0.7757966152674896
600275,2008,0.7215444083207898
600275,2009,0.5724602463284878
600275,2010,0.4653339324722986
